Duration,orig_bytes,resp_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,target
0.000243902,31.0,47.0,1,59,1,75,0
0.015631914,46.0,141.0,1,74,1,169,0
0.013814926,43.0,254.0,1,71,1,282,0
0.023572206,36.0,98.0,1,64,1,126,0
0.000164032,36.0,36.0,1,64,1,64,0
0.036974907,47.0,215.0,1,75,1,243,0
0.024618864,47.0,166.0,1,75,1,194,0
0.000272036,32.0,48.0,1,60,1,76,0
0.019443035,66.0,82.0,1,94,1,110,0
0.023851871,29.0,118.0,1,57,1,146,0
0.012548923,36.0,94.0,1,64,1,122,0
0.000231981,43.0,109.0,1,71,1,137,0
0.013384104,31.0,92.0,1,59,1,120,0
0.012997866,44.0,60.0,1,72,1,88,0
0.017906904,41.0,57.0,1,69,1,85,0
0.020094872,55.0,105.0,1,83,1,133,0
0.016202927,55.0,105.0,1,83,1,133,0
0.022758007,54.0,103.0,1,82,1,131,0
0.000467062,31.0,95.0,1,59,1,123,0
0.026746988,29.0,125.0,1,57,1,153,0
0.056687832,195.0,977.0,6,515,5,1245,0
0.024672031,42.0,117.0,1,70,1,145,0
0.017433882,32.0,297.0,1,60,1,325,0
0.000663996,97.0,97.0,2,153,2,153,0
0.000259161,53.0,89.0,1,81,1,117,0
0.000519991,97.0,97.0,2,153,2,153,0
0.000761986,97.0,97.0,2,153,2,153,0
0.000607014,97.0,97.0,2,153,2,153,0
0.000510216,97.0,97.0,2,153,2,153,0
0.093823195,56.0,98.0,1,84,1,126,0
0.29885006,876.0,6142.0,14,2129,12,6786,0
0.000724077,97.0,97.0,2,153,2,153,0
0.038421869,55.0,96.0,1,83,1,124,0
0.000620842,97.0,97.0,2,153,2,153,0
0.016572952,103.0,160.0,2,159,2,216,0
0.020426989,46.0,92.0,1,74,1,120,0
0.020063877,95.0,152.0,2,151,2,208,0
0.017602921,46.0,92.0,1,74,1,120,0
0.03879714,103.0,157.0,2,159,2,213,0
0.013067961,29.0,141.0,1,57,1,169,0
1.079576969,214.0,1961749.0,375,19936,1359,2032437,0
0.011326075,30.0,94.0,1,58,1,122,0
0.016669035,32.0,96.0,1,60,1,124,0
0.016577005,32.0,96.0,1,60,1,124,0
0.023118019,32.0,96.0,1,60,1,124,0
0.01768899,33.0,97.0,1,61,1,125,0
0.025256872,32.0,96.0,1,60,1,124,0
0.022999048,31.0,70.0,1,59,1,98,0
0.001631975,0.0,0.0,2,80,2,80,0
0.024447918,58.0,98.0,1,86,1,126,0
0.04573822,58.0,110.0,1,86,1,138,0
1.957639933,360.0,0.0,12,696,0,0,1
1.958013058,360.0,0.0,12,936,0,0,1
0.084798098,195.0,977.0,6,503,6,1297,0
0.608443022,214.0,2427988.0,429,22530,1680,2515356,0
0.346157074,5455.0,18201.0,19,6227,26,19253,0
0.026638985,524.0,4074.0,8,924,8,4474,0
0.018829823,42.0,149.0,1,70,1,177,0
60.08016992,56303.0,3621.0,49,58275,2,3000,1
0.025056124,524.0,4074.0,8,924,8,4474,0
0.000255108,32.0,48.0,1,60,1,76,0
0.015580893,32.0,48.0,1,60,1,76,0
0.007107973,524.0,3912.0,7,896,7,4272,0
0.03194499,524.0,4074.0,8,924,8,4474,0
0.021255016,524.0,4074.0,8,924,8,4474,0
0.56016922,107.0,506.0,3,191,3,590,0
0.016269922,35.0,51.0,1,63,1,79,0
0.014021158,35.0,83.0,1,63,1,111,0
180.2602019,2786.0,1498.0,15,3401,19,2306,1
0.311693192,195.0,976.0,6,710,6,1308,0
0.536426067,214.0,2181331.0,364,19150,1510,2259859,0
8.502632856,3877.0,7162.0,20,4689,26,8214,0
3.138522863,1342.0,1589.0,12,1834,14,2161,0
7.153006077,6431.0,2671.0,16,7083,20,3483,1
0.022306919,524.0,4074.0,8,924,8,4474,0
0.020717144,39.0,114.0,1,67,1,142,0
0.017023087,30.0,105.0,1,58,1,133,0
0.000401974,33.0,166.0,1,61,1,194,0
0.019159794,55.0,105.0,1,83,1,133,0
0.023445129,31.0,127.0,1,59,1,155,0
60.11006808,51980.0,3621.0,45,53792,3,3740,1
0.030814171,44.0,60.0,1,72,1,88,0
0.016352177,524.0,4074.0,8,924,8,4474,0
0.086206913,195.0,977.0,6,503,6,1297,0
25.18182111,5712.0,405495.0,117,11804,307,421467,0
0.953366041,214.0,2082067.0,379,20144,1442,2157071,0
0.060767889,195.0,977.0,6,515,5,1245,0
1.840797901,214.0,2091082.0,494,26030,1448,2166386,0
0.013701916,34.0,50.0,1,62,1,78,0
0.02517581,43.0,59.0,1,71,1,87,0
3.00754714,3072.0,0.0,6,3240,0,0,1
0.020336866,524.0,4074.0,6,832,8,4474,0
0.016401052,524.0,4074.0,8,924,8,4474,0
0.236173868,1227.0,6483.0,10,1639,14,7055,0
0.260353088,1237.0,6143.0,10,1649,14,6715,0
0.01663208,524.0,4074.0,8,924,8,4474,0
0.055382967,195.0,977.0,6,515,6,1297,0
0.012790918,524.0,4074.0,8,924,8,4474,0
1.40218401,214.0,2048982.0,410,21542,1419,2122778,0
0.03540206,524.0,4074.0,8,924,8,4474,0
0.031754017,524.0,4074.0,8,924,8,4474,0
0.000252008,37.0,138.0,1,65,1,166,0
245.5978792,4324.0,14194.0,25,5632,29,15710,0
0.015354872,524.0,4074.0,8,924,8,4474,0
0.020966053,524.0,4074.0,8,924,8,4474,0
0.061809063,195.0,977.0,5,463,5,1245,0
1.066021919,214.0,2530261.0,453,23992,1751,2621321,0
0.402117968,955.0,439.0,9,1431,8,863,1
0.006142855,197.0,3909.0,6,517,7,4269,0
0.017735958,524.0,4074.0,8,924,8,4474,0
0.092790127,524.0,4074.0,8,924,8,4474,0
128.3527451,4967.0,15105.0,17,5659,17,15797,0
0.021774054,43.0,88.0,1,71,1,116,0
0.018680096,55.0,105.0,1,83,1,133,0
0.020062208,42.0,102.0,1,70,1,130,0
0.017999172,524.0,4074.0,8,924,8,4474,0
2.21133399,1342.0,1589.0,11,1794,14,2161,0
0.056872129,195.0,977.0,6,515,6,1297,0
0.000234842,35.0,51.0,1,63,1,79,0
25.02162194,5751.0,317972.0,96,10984,248,330888,0
0.831179142,214.0,2301654.0,355,18682,1593,2384498,0
0.000286102,0.0,0.0,1,40,1,52,0
2.003559828,321.0,0.0,3,465,0,0,1
2.001673937,525.0,0.0,3,609,0,0,1
0.011652231,524.0,4074.0,8,924,8,4474,0
58.00806403,28812.0,0.0,23,29456,0,0,1
0.057708979,195.0,977.0,5,463,5,1245,0
0.650273085,214.0,2274580.0,372,19566,1574,2356436,0
0.034548998,48.0,48.0,1,76,1,76,0
0.034052849,48.0,48.0,1,76,1,76,0
0.051217079,48.0,48.0,1,76,1,76,0
0.083539009,48.0,48.0,1,76,1,76,0
0.074685097,48.0,48.0,1,76,1,76,0
0.121687889,48.0,48.0,1,76,1,76,0
0.153819084,48.0,48.0,1,76,1,76,0
4.017585039,5000.0,0.0,4,5112,0,0,1
4.041902065,7500.0,0.0,6,7668,0,0,1
3.997146845,6337.0,0.0,6,6505,0,0,1
4.009195805,6250.0,0.0,5,6390,0,0,1
4.002276182,6337.0,0.0,6,6505,0,0,1
4.000306129,6337.0,0.0,6,6505,0,0,1
4.002260923,6337.0,0.0,6,6505,0,0,1
4.003607035,6250.0,0.0,5,6390,0,0,1
4.0022192,6250.0,0.0,5,6390,0,0,1
61.99336696,1176.0,29685.0,9,1560,29,32317,0
0.01753211,31.0,159.0,1,59,1,187,0
0.319913149,195.0,977.0,6,710,6,1309,0
1.002981186,214.0,1856468.0,364,19364,1287,1923412,0
0.000267029,0.0,0.0,1,40,1,52,0
65.37915206,1669.0,1295.0,14,2405,14,2007,1
68.11427808,2738.0,29166.0,10,3150,29,30338,0
0.061743021,195.0,976.0,5,463,5,1244,0
246.8554878,1864.0,3083.0,21,2721,28,4275,0
0.538269997,214.0,1877513.0,297,15666,1300,1945121,0
5518.321023,796066.0,0.0,595,812726,0,0,1
5518.321062,643352.0,0.0,1174,676224,0,0,1
247.809674,2979.0,1732.0,16,3819,17,2624,1
60.10600114,56303.0,3621.0,48,58235,3,3740,1
4.006895781,6250.0,0.0,5,6390,0,0,1
0.014487982,30.0,94.0,1,58,1,122,0
4.002543926,6250.0,0.0,5,6390,0,0,1
0.065432072,195.0,976.0,6,503,6,1296,0
4.00861001,6337.0,0.0,6,6505,0,0,1
0.021206141,41.0,175.0,1,69,1,203,0
0.419389963,214.0,1414291.0,283,14926,981,1465311,0
0.022181034,32.0,48.0,1,60,1,76,0
0.013128996,32.0,48.0,1,60,1,76,0
81.28090382,1970.0,5307.0,9,2342,17,6197,0
25.697119,11088.0,0.0,9,11340,0,0,1
0.26957202,10117.0,2704.0,19,10889,23,3636,1
1.242640018,1342.0,1589.0,11,1794,14,2161,0
9.288735151,2064.0,6104.0,14,2636,17,6796,0
489.612468,24171.0,2567.0,52,28331,55,5447,1
0.068473101,195.0,977.0,6,515,5,1245,0
0.517277002,214.0,1832396.0,383,20138,1269,1898392,0
60.08669901,51980.0,3621.0,46,53832,2,3000,1
0.012907028,35.0,51.0,1,63,1,79,0
0.065382004,195.0,976.0,6,515,5,1244,0
86.63767886,42550.0,35740.0,44,44358,31,45207,1
0.78156805,214.0,2160264.0,329,17330,1495,2238012,0
3.040846109,700.0,0.0,4,812,0,0,1
392.1643591,1606.0,6330.0,14,2354,15,7094,0
241.0617869,623.0,168.0,12,1255,11,748,1
240.3091969,2223.0,1926.0,17,2920,22,2878,1
0.058200121,195.0,976.0,5,463,5,1244,0
1.166418076,214.0,2217428.0,419,22010,1535,2297256,0
0.011618137,34.0,50.0,1,62,1,78,0
0.012161016,55.0,71.0,1,83,1,99,0
0.000591993,97.0,97.0,2,153,2,153,0
0.000481844,97.0,97.0,2,153,2,153,0
0.000272036,32.0,48.0,1,60,1,76,0
0.028470993,32.0,48.0,1,60,1,76,0
0.063135862,195.0,977.0,6,515,6,1297,0
0.002521992,0.0,0.0,1,40,1,52,0
0.675510883,214.0,2051990.0,320,16862,1421,2125890,0
98.07686996,654.0,820.0,8,1078,7,1192,0
9.327465057,6428.0,2509.0,17,7120,20,3321,1
0.039204836,154.0,539.0,5,366,5,751,0
392.2416201,1692.0,5727.0,15,2480,15,6491,0
105.0200632,2927.0,8812.0,16,3579,14,9384,0
4.143146992,6337.0,0.0,6,6505,0,0,1
0.021606922,44.0,60.0,1,72,1,88,0
0.295367002,195.0,977.0,6,710,6,1309,0
0.012604952,41.0,177.0,1,69,1,205,0
0.615226984,214.0,2370826.0,313,16498,1641,2456166,0
0.011997938,36.0,98.0,1,64,1,126,0
